ID,Lat,Lon,Country,hardcoral,hardcoral26,hardcoral85
1910,-22.584942,43.253877,Madagascar,27.48446339,48.84056725,26.19010719
1911,-22.584942,43.276335,Madagascar,25.71000197,46.52315862,24.39393733
1912,-22.584942,43.298793,Madagascar,25.71000197,46.52315862,24.39393733
1913,-22.605795,43.253877,Madagascar,28.87654378,50.63254893,27.27249722
1914,-22.605795,43.276335,Madagascar,26.82002388,48.11547977,25.36066121
1915,-22.605795,43.298793,Madagascar,26.8034974,48.10373844,25.16668973
1916,-22.626645,43.253877,Madagascar,28.85431673,50.6756585,26.85988025
1917,-22.626645,43.276335,Madagascar,26.85414942,48.08630508,24.87727284
1918,-22.626645,43.298793,Madagascar,26.86013043,48.08339536,24.86564369
1919,-22.647492,43.276335,Madagascar,26.86069753,48.00616313,24.28755871
1920,-22.647492,43.298793,Madagascar,26.84052462,48.00640786,24.28857965
1921,-22.647492,43.321251,Madagascar,26.87082967,48.00665258,24.28960039
1922,-22.668335,43.276335,Madagascar,25.71599138,46.472866,22.97294775
1923,-22.668335,43.298793,Madagascar,25.74641204,46.47592844,22.98624125
1924,-22.668335,43.321251,Madagascar,25.82792683,46.47899798,22.99954016
1925,-22.689176,43.298793,Madagascar,24.98338247,45.47479362,22.2804678
1926,-22.689176,43.321251,Madagascar,25.06329689,37.32357979,35.57942505
1927,-22.689176,43.343709,Madagascar,25.06329689,37.32357979,35.57942505
1928,-22.710013,43.298793,Madagascar,24.91344586,37.84933311,35.35882767
1929,-22.710013,43.321251,Madagascar,24.91177685,37.83958524,35.40402258
1930,-22.710013,43.343709,Madagascar,24.91177685,37.83958524,35.40402258
1931,-22.730847,43.321251,Madagascar,24.93319245,38.22875732,35.25937411
1932,-22.730847,43.343709,Madagascar,24.93319245,38.22875732,35.25937411
1933,-22.751678,43.321251,Madagascar,26.03376405,40.49182336,36.68618103
1934,-22.751678,43.343709,Madagascar,26.03376405,40.49182336,36.68618103
1935,-22.772505,43.321251,Madagascar,22.03603013,35.73421744,31.70863948
1936,-22.772505,43.343709,Madagascar,22.03603013,35.73421744,31.70863948
1937,-22.793329,43.343709,Madagascar,21.98927919,17.76396092,32.77209205
1938,-22.793329,43.366167,Madagascar,21.98927919,17.76057602,32.8724876
1939,-22.81415,43.343709,Madagascar,21.97532954,17.76734633,32.70244317
1940,-22.81415,43.366167,Madagascar,21.13063072,17.04905265,31.61247144
1941,-22.834968,43.343709,Madagascar,22.50129482,18.21610987,33.37533073
1942,-22.834968,43.366167,Madagascar,20.70812769,17.0570137,31.2250094
1943,-22.855783,43.366167,Madagascar,20.70812769,17.0570137,31.2250094
1944,-22.855783,43.388624,Madagascar,20.70812769,17.0570137,31.2250094
1945,-22.876594,43.366167,Madagascar,20.70812769,17.0570137,31.2250094
1946,-22.876594,43.388624,Madagascar,20.70812769,17.0570137,31.2250094
1947,-22.876594,43.411082,Madagascar,20.72619294,17.05766768,31.21767183
1948,-22.897403,43.388624,Madagascar,20.66527956,17.05974562,31.08567563
1949,-22.897403,43.411082,Madagascar,20.6843579,17.06049373,31.02548089
